Scene Count: 339

"Unique Physical Locations"
"Set/Location","Number Of Nodes","Characters",
INT. FAMILY LIVING ROOM,296,BUSINESS DANIEL - DANIEL - HIPPIE DANIEL - JACK - KATRINA - MELISSA - MILITARY DANIEL - PROJECT MANAGER DANIEL - SCIENTIST DANIEL - UNCLE BOB
INT. GREENSCREEN,210,DANIEL - KATRINA
EXT. FIREPIT,165,BUSINESS DANIEL - DANIEL - HIPPIE DANIEL - KATRINA - MILITARY DANIEL - PROJECT MANAGER DANIEL - SCIENTIST DANIEL
EXT. HAMMOCK,141,DANIEL - KATRINA
EXT. DECK,99,DANIEL - HIPPIE DANIEL - PROJECT MANAGER DANIEL
EXT. BACKYARD,86,DANIEL - JACK - KATRINA - MELISSA
INT. GREENSCREEN SHED,34,DANIEL - UNCLE BOB
EXT. COUNTRY ROAD,31,DANIEL - HIPPIE DANIEL - PROJECT MANAGER DANIEL - SCIENTIST DANIEL
EXT. RANDOM STREET SCENES,27,PERSON1 - PERSON10 - PERSON11 - PERSON12 - PERSON2 - PERSON3 - PERSON4 - PERSON5 - PERSON6 - PERSON7 - PERSON8 - PERSON9
EXT. GREENSCREEN SHED CLOSER TO HOUSE,25,DANIEL - KATRINA
EXT. GREENSCREEN SHED,13,DANIEL - KATRINA
SECTION BREAK,12,
INT. GREENSCREEN REVERSE,10,DANIEL - KATRINA
TITLE CARD,4,
EXT. BETWEEN HAMMOCK AREA AND HOUSE,4,DANIEL

"Sorted Shot List (By Location, Scene Number)"
"Set/Location","Scene Number","Starting Page","Character List","Speaking Segments","Notes",
"INT. GREENSCREEN - CONTINUOUS","296","69","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","297","69","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","298","69","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","299","69","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","300","70","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","301","70","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","302","70","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","303","71","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","304","71","DANIEL","2","",
"INT. GREENSCREEN","323","75","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","324","75","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","325","75","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","326","76","DANIEL","2","",
"INT. GREENSCREEN - CONTINUOUS","327","76","DANIEL","2","",
"INT. GREENSCREEN","90","23","DANIEL","3","",
"INT. GREENSCREEN","91","23","DANIEL","2","",
"INT. GREENSCREEN","92","23","DANIEL","2","",
"INT. GREENSCREEN","93","23","DANIEL","2","",
"INT. GREENSCREEN","94","23","DANIEL","2","",
"INT. GREENSCREEN","95","24","DANIEL","3","",
"SECTION BREAK","117","29","","2","",
"SECTION BREAK","192","46","","2","",
"SECTION BREAK","251","59","","2","",
"SECTION BREAK","252","60","","2","",
"SECTION BREAK","27","14","","2","",
"SECTION BREAK","328","76","","2","",
"TITLE CARD","2","2","","1","This title should have a note",
"TITLE CARD","3","2","","1","",
"TITLE CARD","335","77","","1","",
"TITLE CARD","336","78","","1","",

